"Part";"Value";"Device";"Package";"Description";"";
"1VO";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"C1";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";
"C2";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";
"C3";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C4";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C5";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C6";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C7";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C11";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C12";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C13";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C14";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C15";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C16";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C17";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C18";".001 poly";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C19";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"CT1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CT2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CT3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"D5";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D6";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D7";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D8";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"FT1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FT2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FT3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"GNDP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IC1";"TL072P";"TL072P";"DIL08";"OP AMP";"";
"IC2";"TL072P";"TL072P";"DIL08";"OP AMP";"";
"IC3";"CA3080E";"CA3080E";"DIL08";"OTA";"";
"IC4";"LM13700N";"LM13700N";"DIL16";"Dual OTA with buffers";"";
"IC5";"TL074";"TL074-TOPP";"DIL14";"OP AMP";"";
"IC6";"TL071P";"TL071P";"DIL08";"OP AMP";"";
"IPWM1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IPWM2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"LFM2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"PLS";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"PWM2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"R1";"8.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R2";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R3";"33k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R4";"2kTC";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R5";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R6";"390R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R7";"1.5M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R9";"390k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R10";"560k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R11";"39k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R12";"360R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R13";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R14";"2.2M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R15";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R16";"33k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R17";"2.2M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R18";"22k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R19";"2.2M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R20";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R22";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R23";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R43";"220k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R44";"62k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R45";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R46";"39k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R47";"150k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R48";"47k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R49";"1M";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R50";"18k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R55";"110k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R57";"300k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R58";"2.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R59";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R60";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R61";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R62";"39k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R63";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R64";"110k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R65";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R66";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R67";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R68";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R69";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"SAW";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SAWSHP";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"SINE";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"SINSHP";"100k";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
"SQR";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"T1";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T2";"3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"PNP Transistror";"";
"T3";"2N5457";"2N5457";"TO-92";"2N54xx N-channel JFET";"";
"TRI";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"U$1";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";
"V/O";"100R";"TRIM_US-RJ9W";"RJ9W";"POTENTIOMETER";"";
